Parcela;Obs_parcela;N.;Nome_comum;Familia;;DAP;Altura;Altura_medida_estimada;Morta;Tipo;Ano;;
TLO_001a006;NA;35E;CANELA DE VELHO;Melastomataceae;;12,2;12,2;EST;NA;NA;2015;;
TLO_001a006;NA;36;GITO VERMELHO;Meliaceae;;17,7;15,8;EST;NA;NA;2015;;
TLO_001a006;NA;36D;CASTANHA JARANA;Lecythidaceae;;10,3;10,9;EST;NA;NA;2015;;
TLO_001a006;NA;37;TABOQUINHA;Rubiaceae;;12,1;12,2;EST;NA;NA;2015;;
TLO_001a006;NA;38;LOURO FALSO ARITU;Lauraceae;;26,6;20,6;EST;NA;NA;2015;;
TLO_001a006;NA;39;MATAMATA AMARELO;Lecythidaceae;;25,9;20,2;EST;NA;NA;2015;;
TLO_001a006;NA;39D;MARMELO;Euphorbiaceae;;18,6;16,4;EST;NA;NA;2015;;
TLO_001a006;NA;39F;MATAMATA AMARELO;Lecythidaceae;;22,1;18,3;EST;NA;NA;2015;;
TLO_001a006;NA;40;ABIURANA;Sapotaceae;;48,5;28,8;EST;NA;NA;2015;;
TLO_001a006;NA;41;RIPEIRO VERMELHO;Lecythidaceae;;NA;NA;EST;M;NA;2015;;
TLO_001a006;NA;42;MUIRACATIARA;NA;;NA;NA;EST;M;NA;2015;;
TLO_001a006;NA;43;ARACA BRAVO;NA;;NA;NA;EST;M;NA;2015;;
TLO_001a006;NA;44;ABIURANA ABIU;NA;;NA;NA;EST;M;NA;2015;;
TLO_001a006;NA;45;CARAIPE;NA;;NA;NA;EST;M;NA;2015;;
TLO_001a006;NA;46;TENTO MIUDO;Fabaceae;;32,1;23,0;EST;NA;NA;2015;;
TLO_001a006;NA;46B;PIQUIARANA;Caryocaraceae;;17,6;15,8;EST;NA;NA;2015;;
TLO_001a006;NA;46I;MURICI DA MATA;NA;;12,5;12,5;EST;M;NA;2015;;
TLO_001a006;NA;47;MATAMATA AMARELO;Lecythidaceae;;21,3;17,9;EST;NA;NA;2015;;
TLO_001a006;NA;48;AMAPA AMARGOSO;Apocynaceae;;22,0;18,3;EST;NA;NA;2015;;
TLO_001a006;NA;48H;EMBAUBARANA;NA;;13,3;13,0;EST;NA;NA;2015;;
TLO_001a006;NA;48I;EMBAUBA BENGUE;NA;;10,5;11,0;EST;NA;NA;2015;;
TLO_001a006;NA;49;MUIRATINGA;NA;;NA;NA;EST;M;NA;2015;;
TLO_001a006;NA;50;MATAMATA AMARELO;Lecythidaceae;;17,2;15,5;EST;NA;NA;2015;;
TLO_001a006;NA;50 E;EMBA�BA;Cecropiaceae;;19,7;17,0;EST;NA;NA;2015;;
TLO_001a006;NA;51;MATAMATA AMARELO;Lecythidaceae;;21,8;18,2;EST;NA;NA;2015;;
TLO_001a006;NA;52;CHICLETE BRAVO;Sapotaceae;;14,0;13,5;EST;NA;NA;2015;;
TLO_001a006;NA;53;BREU BRANCO;Burseraceae;;22,4;18,5;EST;NA;NA;2015;;
TLO_001a006;NA;53B;BREU VERMELHO;Burseraceae;;13,4;13,1;EST;NA;NA;2015;;
TLO_001a006;NA;33J;PEPINO DA MATA;NA;;NA;NA;EST;NA;NA;2015;;
TLO_001a006;NA;54;MATAMATA AMARELO;Lecythidaceae;;31,9;22,9;EST;NA;NA;2015;;
TLO_001a006;NA;55;CASTANHA VERMELHA;Lecythidaceae;;NA;NA;EST;M;NA;2015;;
TLO_001a006;NA;56;LOURO PRETO;Lauraceae;;15,1;14,2;EST;NA;NA;2015;;
TLO_001a006;NA;57;ACARIQUARA ROXA;Olacaceae;;24,2;19,4;EST;NA;NA;2015;;
TLO_001a006;NA;58;INGA VERMELHA;Fabaceae;;38,4;25,5;EST;NA;NA;2015;;
TLO_001a006;NA;59;BREU VERMELHO;Burseraceae;;NA;NA;EST;M;NA;2015;;
TLO_001a006;NA;59E;CASTANHA DE ARANHA;Euphorbiaceae;;13,4;13,1;EST;NA;NA;2015;;
TLO_001a006;NA;60;BREU VERMELHO;Anacardiaceae;;21,0;17,7;EST;NA;NA;2015;;
TLO_001a006;NA;61;ABIURANA FEDORENTA;Sapotaceae;;41,0;26,4;EST;NA;NA;2015;;
TLO_001a006;NA;62;MATAMATA AMARELO;Lecythidaceae;;22,7;18,6;EST;NA;NA;2015;;
TLO_001a006;NA;62A;MATAMATA AMARELO;Lecythidaceae;;12,1;12,2;EST;NA;NA;2015;;
TLO_001a006;NA;63;RIPEIRO VERMELHO;Lecythidaceae;;38,1;25,4;EST;NA;NA;2015;;
TLO_001a006;NA;63B;MARI BRAVO;Chrysobalanaceae;;10,4;10,9;EST;NA;NA;2015;;
TLO_001a006;NA;64;MATAMATA AMARELO;Lecythidaceae;;19,1;16,7;EST;NA;NA;2015;;
TLO_001a006;NA;65;SAPATEIRO;Clusiaceae;;10,3;10,9;EST;NA;NA;2015;;
TLO_001a006;NA;66;RIPEIRO VERMELHO;Lecythidaceae;;10,2;10,8;EST;NA;NA;2015;;
TLO_001a006;NA;67;PEPINO DA MATA;Apocynaceae;;18,6;16,4;EST;NA;NA;2015;;
TLO_001a006;NA;68;MATAMATA AMARELO;Lecythidaceae;;16,8;15,3;EST;NA;NA;2015;;
TLO_001a006;NA;68A;UCUUBA PUNA;Myristicaceae;;12,2;12,2;EST;NA;NA;2015;;
TLO_001a006;NA;69;PAU RAINHA;Moraceae;;12,2;12,2;EST;NA;NA;2015;;
TLO_001a006;NA;69B;ABIURANA BACURI;Sapotaceae;;NA;NA;EST;M;NA;2015;;
TLO_001a006;NA;70;CAROBA;Bignoniaceae;;29,4;21,9;EST;NA;NA;2015;;
TLO_001a006;NA;71;BREU BRANCO;Burseraceae;;15,6;14,5;EST;NA;NA;2015;;
TLO_001a006;NA;72;MACACAUBA;Fabaceae;;43,6;27,3;EST;NA;NA;2015;;
TLO_001a006;NA;73;BREU VERMELHO;Burseraceae;;17,9;16,0;EST;NA;NA;2015;;
TLO_001a006;NA;74;MATAMATA AMARELO;Lecythidaceae;;16,9;15,3;EST;NA;NA;2015;;
TLO_001a006;NA;75;URUCURANA;Fabaceae;;30,6;22,4;EST;NA;NA;2015;;
TLO_001a006;NA;76;BREU VERMELHO;Burseraceae;;14,3;13,7;EST;NA;NA;2015;;
TLO_001a006;NA;77;MATAMATA AMARELO;Lecythidaceae;;22,4;18,5;EST;NA;NA;2015;;
TLO_001a006;NA;78;CARDEIRO;Bombacaceae;;14,5;13,8;EST;NA;NA;2015;;
TLO_001a006;NA;79;LOURO FOFO;NA;;NA;NA;EST;M;NA;2015;;
TLO_001a006;NA;80;CARAIPE;Chrysobalanaceae;;24,4;19,5;EST;NA;NA;2015;;
TLO_001a006;NA;80B;BREU BRANCO;Burseraceae;;12,7;12,6;EST;NA;NA;2015;;
TLO_001a006;NA;81;FALSA RAINHA;Fabaceae;;13,2;12,9;EST;NA;NA;2015;;
TLO_001a006;NA;81B;MANDIOQUEIRA LISA;Hugoniaceae;;16,0;14,8;EST;NA;NA;2015;;
TLO_001a006;NA;81E;LOURO PRETO;Lauraceae;;10,8;11,2;EST;NA;NA;2015;;
TLO_001a006;NA;82;MUIRATINGA;Moraceae;;14,5;13,8;EST;NA;NA;2015;;
TLO_001a006;NA;83;MATAMATA AMARELO;Bombacaceae;;49,3;29,1;EST;NA;NA;2015;;
TLO_001a006;NA;83F;BREU BRANCO;Burseraceae;;12,7;12,6;EST;NA;NA;2015;;
TLO_001a006;NA;84;GITO;Myristicaceae;;20,0;17,2;EST;NA;NA;2015;;
TLO_001a006;NA;85;CARAPANAUBA;NA;;NA;NA;EST;M;NA;2015;;
TLO_001a006;NA;86;PUPUNHARANA;Solanaceae;;100,5;39,0;EST;NA;NA;2015;;
TLO_001a006;NA;87;MATAMATA AMARELO;Lecythidaceae;;24,7;19,7;EST;NA;NA;2015;;
TLO_001a006;NA;88;UCUUBA VERMELHA;Myristicaceae;;26,4;20,5;EST;NA;NA;2015;;
TLO_001a006;NA;89;MUIRAXIMBE;Rubiaceae;;17,4;15,7;EST;NA;NA;2015;;
TLO_001a006;NA;90;FAVEIRA;Fabaceae;;46,8;28,3;EST;NA;NA;2015;;
TLO_001a006;NA;90B;MATAMATA AMARELO;Lecythidaceae;;11,1;11,5;EST;NA;NA;2015;;
TLO_001a006;NA;91;MUIRAJIBOIA;Fabaceae;;21,0;17,7;EST;NA;NA;2015;;
TLO_001a006;NA;92;ACHICHA;Sterculiaceae;;10,5;11,0;EST;NA;NA;2015;;
TLO_001a006;NA;93;RIPEIRO;Lecythidaceae;;35,8;24,5;EST;NA;NA;2015;;
TLO_001a006;NA;94;CARAPANAUBA;Apocynaceae;;75,4;35,2;EST;NA;NA;2015;;
TLO_001a006;NA;95;CAROBA;Bignoniaceae;;14,5;13,8;EST;NA;NA;2015;;
TLO_001a006;NA;96;TACHI PRETO;Fabaceae;;26,8;20,7;EST;NA;NA;2015;;
TLO_001a006;NA;97;FALSA RAINHA;Moraceae;;14,4;13,8;EST;NA;NA;2015;;
TLO_001a006;NA;98;PAU CANELA;Anisophylleaceae;;32,5;23,2;EST;NA;NA;2015;;
TLO_001a006;NA;99;CASTANHA DE PORCO;Euphorbiaceae;;25,4;20,0;EST;NA;NA;2015;;
TLO_001a006;NA;100;FAVEIRA;Fabaceae;;40,4;26,2;EST;NA;NA;2015;;
TLO_001a006;NA;97G;CAPITIU FOLHA GRANDE;NA;;10,1;10,7;EST;NA;NA;2015;;
TLO_001a006;NA;101;FIGO BRAVO;Rubiaceae;;28,5;21,5;EST;NA;NA;2015;;
TLO_001a006;NA;102;ABIURANA VERMELHA;Sapotaceae;;18,9;16,5;EST;NA;NA;2015;;
TLO_001a006;NA;103;CHICLETE BRAVO;NA;;NA;NA;EST;M;NA;2015;;
TLO_001a006;NA;104;ARACA BRAVO;Erythroxylaceae;;NA;NA;EST;M;NA;2015;;
TLO_001a006;NA;105;MACUCU CHIADOR;Sapotaceae;;NA;NA;EST;M;NA;2015;;
TLO_001a006;NA;106;ARACA BRAVO;Celastraceae;;13,3;13,0;EST;NA;NA;2015;;
TLO_001a006;NA;107;BREU VERMELHO;Burseraceae;;NA;NA;EST;M;NA;2015;;
TLO_001a006;NA;108;MACUCU CHIADOR;Chrysobalanaceae;;34,4;24,0;EST;NA;NA;2015;;
TLO_001a006;NA;109;CHICHUA;Ochnaceae;;29,8;22,0;EST;NA;NA;2015;;
TLO_001a006;NA;110;JOAO MOLE;Nyctaginaceae;;15,0;14,1;EST;NA;NA;2015;;
TLO_001a006;NA;111;UXIRANA;Humiriaceae;;17,5;15,7;EST;NA;NA;2015;;
TLO_001a006;NA;112;TAQUARI;NA;;NA;NA;EST;M;NA;2015;;
TLO_001a006;NA;113;LOURO FALSO ARITU;Lauraceae;;29,5;21,9;EST;NA;NA;2015;;
TLO_001a006;NA;114;JARAI;Sapotaceae;;34,4;24,0;EST;NA;NA;2015;;
TLO_001a006;NA;114B;MATAMATA AMARELO;Lecythidaceae;;13,5;13,2;EST;NA;NA;2015;;
TLO_001a006;NA;114C;NA;NA;;14,8;14,0;EST;NA;NA;2015;;
TLO_001a006;NA;115;PIABINHA ROXA;Ebenaceae;;13,8;13,4;EST;NA;NA;2015;;
TLO_001a006;NA;116;ABIURANA CASCA FINA;Sapotaceae;;NA;NA;EST;M;NA;2015;;
TLO_001a006;NA;117;MATAMATA AMARELO;Lecythidaceae;;10,3;10,9;EST;NA;NA;2015;;
TLO_001a006;NA;118;RIPEIRO VERMELHO;Lecythidaceae;;35,3;24,3;EST;NA;NA;2015;;
TLO_001a006;NA;119;CAROBA;Bignoniaceae;;NA;NA;EST;M;NA;2015;;
TLO_001a006;NA;120;TACHI PRETO;NA;;NA;NA;EST;M;NA;2015;;
TLO_001a006;NA;121;ITAUBA;Lauraceae;;29,2;21,8;EST;NA;NA;2015;;
TLO_001a006;NA;121E;MUIRATINGA;NA;;11,2;11,5;EST;NA;NA;2015;;
TLO_001a006;NA;122;AMAPA AMARGOSO;Apocynaceae;;23,6;19,1;EST;NA;NA;2015;;
TLO_001a006;NA;123;MUIRACATIARA;Burseraceae;;10,6;11,1;EST;NA;NA;2015;;
TLO_001a006;NA;124;MATAMATA AMARELO;Lecythidaceae;;21,1;17,8;EST;NA;NA;2015;;
TLO_001a006;NA;125;ABIURANA ABIU;Sapotaceae;;33,0;23,4;EST;NA;NA;2015;;
TLO_001a006;NA;126;RIPEIRO VERMELHO;Lecythidaceae;;19,3;16,8;EST;NA;NA;2015;;
TLO_001a006;NA;127;BREU;NA;;NA;NA;EST;M;NA;2015;;
TLO_001a006;NA;128;MATAMATA AMARELO;Lecythidaceae;;15,8;14,7;EST;NA;NA;2015;;
TLO_001a006;NA;128E;EMBA�BA;Cecropiaceae;;16,7;15,2;EST;NA;NA;2015;;
TLO_001a006;NA;129;CARAPANAUBA;NA;;NA;NA;EST;M;NA;2015;;
TLO_001a006;NA;130;MATAMATA AMARELO;Lecythidaceae;;NA;NA;EST;M;NA;2015;;
TLO_001a006;NA;131;BREU BRANCO;Burseraceae;;NA;NA;EST;M;NA;2015;;
TLO_001a006;NA;132;GITO BRANCO;Meliaceae;;11,8;12,0;EST;NA;NA;2015;;
TLO_001a006;NA;132E;NA;Euphorbiaceae;;10,7;11,2;EST;NA;NA;2015;;
TLO_001a006;NA;133;GITO BRANCO;Meliaceae;;15,5;14,5;EST;NA;NA;2015;;
TLO_001a006;NA;134;ABIURANA ABIU;Sapotaceae;;27,5;21,0;EST;NA;NA;2015;;
TLO_001a006;NA;134E;MUIRATINGA;Moraceae;;10,8;11,2;EST;NA;NA;2015;;
TLO_001a006;NA;135;SERINGARANA;NA;;NA;NA;EST;M;NA;2015;;
TLO_001a006;NA;136;AZEITONA DA MATA;Myrtaceae;;NA;NA;EST;M;NA;2015;;
TLO_001a006;NA;137;MUIRAJIBOIA;Fabaceae;;31,4;22,7;EST;NA;NA;2015;;
TLO_001a006;NA;137I;TINTEIRO;NA;;10,4;10,9;EST;NA;NA;2015;;
TLO_001a006;NA;138;TACHI VERMELHO;NA;;NA;NA;EST;M;NA;2015;;
TLO_001a006;NA;139;LOURO PRETO;NA;;NA;NA;EST;M;NA;2015;;
TLO_001a006;NA;140;LOURO PRETO;Lauraceae;;19,0;16,6;EST;NA;NA;2015;;
TLO_001a006;NA;140F;SACACA BRAVA;NA;;11,1;11,5;EST;NA;NA;2015;;
TLO_001a006;NA;141;MATAMATA AMARELO;Euphorbiaceae;;NA;NA;EST;M;NA;2015;;
TLO_001a006;NA;142;BREU VERMELHO;Lecythidaceae;;11,8;12,0;EST;NA;NA;2015;;
TLO_001a006;NA;142I;EMBAUBARANA;NA;;10,6;11,1;EST;NA;NA;2015;;
TLO_001a006;NA;143;MATAMATA AMARELO;Burseraceae;;NA;NA;EST;M;NA;2015;;
TLO_001a006;NA;144;ACHICHA;Lecythidaceae;;NA;NA;EST;M;NA;2015;;
TLO_001a006;NA;145;MATAMATA AMARELO;NA;;NA;NA;EST;M;NA;2015;;
TLO_001a006;NA;145E;LACU VERMELHO;NA;;13,0;12,8;EST;NA;NA;2015;;
TLO_001a006;NA;146;BREU VERMELHO;Lecythidaceae;;12,4;12,4;EST;NA;NA;2015;;
TLO_001a006;NA;146D;MARUPA ROXO;Simaroubaceae;;11,4;11,7;EST;NA;NA;2015;;
TLO_001a006;NA;146E1;EMBA�BA;Euphorbiaceae;;14,0;13,5;EST;NA;NA;2015;;
TLO_001a006;NA;146E2;CUBIUBARANA;Cecropiaceae;;NA;NA;EST;M;NA;2015;;
TLO_001a006;NA;146I;TINTEIRO;NA;;NA;NA;EST;M;NA;2015;;
TLO_001a006;NA;147;LOURO;NA;;17,0;15,4;EST;NA;NA;2015;;
TLO_001a006;NA;147D;MARMELO;Lauraceae;;20,3;17,3;EST;NA;NA;2015;;
TLO_001a006;NA;147F;RIPEIRO BRANCO;Euphorbiaceae;;12,3;12,3;EST;NA;NA;2015;;
TLO_001a006;NA;147I;ENVIRA BOBO;NA;;10,2;10,8;EST;NA;NA;2015;;
TLO_001a006;NA;148;MATAMATA AMARELO;Lecythidaceae;;NA;NA;EST;M;NA;2015;;
TLO_001a006;NA;149;MATAMATA AMARELO;NA;;NA;NA;EST;M;NA;2015;;
TLO_001a006;NA;149C;LOURO PRETO;NA;;21,6;18,0;EST;M;NA;2015;;
TLO_001a006;NA;146G;TINTEIRO;Lauraceae;;14,1;13,6;EST;NA;NA;2015;;
TLO_007a012;NA;150;MATAMATA AMARELO;Violaceae;;18,4;16,2;EST;NA;NA;2015;;
TLO_007a012;NA;150C;MAMAOZINHO;Burseraceae;;13,5;13,2;EST;NA;NA;2015;;
TLO_007a012;NA;151;MATAMATA AMARELO;NA;;26,4;20,5;EST;NA;NA;2015;;
TLO_007a012;NA;151C;MUCURAO;Humiriaceae;;11,9;12,0;EST;NA;NA;2015;;
TLO_007a012;NA;152;BREU VERMELHO;Lecythidaceae;;18,5;16,3;EST;NA;NA;2015;;
TLO_007a012;NA;152I1;MURICI DA MATA;NA;;10,8;11,2;EST;NA;NA;2015;;
TLO_007a012;NA;152I2;MARUPA;NA;;11,5;11,7;EST;NA;NA;2015;;
TLO_007a012;NA;153;NA;NA;;NA;NA;EST;M;NA;2015;;
TLO_007a012;NA;154;MUIRAJIBOIA;Dichapetalaceae;;38,5;25,5;EST;NA;NA;2015;;
TLO_007a012;NA;155;TAUARI;NA;;18,4;16,2;EST;NA;NA;2015;;
TLO_007a012;NA;156;BREU VERMELHO;Fabaceae;;NA;NA;EST;M;NA;2015;;
TLO_007a012;NA;157;TAPURA PELUDA;NA;;32,9;23,4;EST;NA;NA;2015;;
TLO_007a012;NA;157E;TACHI VERMELHO;Lecythidaceae;;13,6;13,2;EST;NA;NA;2015;;
TLO_007a012;NA;157F;INGA ARARA;Lecythidaceae;;11,9;12,0;EST;NA;NA;2015;;
TLO_007a012;NA;158;INGA PELUDA;Burseraceae;;NA;NA;EST;M;NA;2015;;
TLO_007a012;NA;159;CASTANHA SAPUCAIA;Fabaceae;;23,5;19,0;EST;NA;NA;2015;;
TLO_007a012;NA;160;RIPEIRO VERMELHO;Lecythidaceae;;NA;NA;EST;M;NA;2015;;
TLO_007a012;NA;160B;BREU VERMELHO;Lecythidaceae;;NA;NA;EST;M;NA;2015;;
TLO_007a012;NA;161;CUMARURANA;Burseraceae;;50,1;29,3;EST;NA;NA;2015;;
TLO_007a012;NA;162;MATAMATA AMARELO;Violaceae;;26,8;20,7;EST;NA;NA;2015;;
TLO_007a012;NA;163;MATAMATA AMARELO;Violaceae;;16,3;15,0;EST;NA;NA;2015;;
TLO_007a012;NA;164;BREU MANGA;Myristicaceae;;13,6;13,2;EST;NA;NA;2015;;
TLO_007a012;NA;164B;MUCURAO;Burseraceae;;10,5;11,0;EST;NA;NA;2015;;
TLO_007a012;NA;165;FALSA CUPIUBA;Sapotaceae;;14,6;13,9;EST;NA;NA;2015;;
TLO_007a012;NA;166;UCUUBA PRETA;NA;;15,2;14,3;EST;NA;NA;2015;;
TLO_007a012;NA;167;BREU VERMELHO;NA;;NA;NA;EST;M;NA;2015;;
TLO_007a012;NA;168;ABIURANA CASCA FINA;Sterculiaceae;;21,0;17,7;EST;NA;NA;2015;;
TLO_007a012;NA;169;MATAMATA AMARELO;Annonaceae;;NA;NA;EST;M;NA;2015;;
TLO_007a012;NA;170;MUCURAO;Violaceae;;NA;NA;EST;M;NA;2015;;
TLO_007a012;NA;171;ACHICHA;Violaceae;;22,6;18,6;EST;NA;NA;2015;;
TLO_007a012;NA;172;ENVIRA PRETA;Quiinaceae;;16,3;15,0;EST;NA;NA;2015;;
TLO_007a012;NA;173;FALSA CUPIUBA;Lauraceae;;24,0;19,3;EST;NA;NA;2015;;
TLO_007a012;NA;174;LOURO FOFO;Chrysobalanaceae;;NA;NA;EST;M;NA;2015;;
TLO_007a012;NA;175;AMAPA DOCE;Meliaceae;;50,0;29,3;EST;NA;NA;2015;;
TLO_007a012;NA;176;FALSA CUPIUBA;Lecythidaceae;;16,9;15,3;EST;NA;NA;2015;;
TLO_007a012;NA;177;FALSA CUPIUBA;Sapotaceae;;10,9;11,3;EST;NA;NA;2015;;
TLO_007a012;NA;178;MOELA DE MUTUM;Euphorbiaceae;;31,4;22,7;EST;NA;NA;2015;;
TLO_007a012;NA;179;RIPEIRO VERMELHO;Fabaceae;;32,0;23,0;EST;NA;NA;2015;;
TLO_007a012;NA;180;CARAIPE;Quiinaceae;;18,6;16,4;EST;NA;NA;2015;;
TLO_007a012;NA;181;GITO;Lecythidaceae;;12,0;12,1;EST;NA;NA;2015;;
TLO_007a012;NA;182;MATAMATA AMARELO;Euphorbiaceae;;14,2;13,6;EST;NA;NA;2015;;
TLO_007a012;NA;183;ABIURANA;Myristicaceae;;28,9;21,6;EST;NA;NA;2015;;
TLO_007a012;NA;184;AMARELINHO;Nyctaginaceae;;NA;NA;EST;M;NA;2015;;
TLO_007a012;NA;185;ARABA ROXO;Sapotaceae;;18,2;16,1;EST;NA;NA;2015;;
TLO_007a012;NA;186;PAPO DE MUTUM;Burseraceae;;20,5;17,4;EST;NA;NA;2015;;
TLO_007a012;NA;187;MATAMATA AMARELO;Burseraceae;;11,7;11,9;EST;NA;NA;2015;;
TLO_007a012;NA;188;SERINGA VERMELHA;Chrysobalanaceae;;43,0;27,1;EST;NA;NA;2015;;
TLO_007a012;NA;189;UCUUBA VERMELHA;Lecythidaceae;;25,0;19,8;EST;NA;NA;2015;;
TLO_007a012;NA;190;INHARE;Sapotaceae;;31,4;22,7;EST;NA;NA;2015;;
TLO_007a012;NA;191;MUIRATINGA;Rubiaceae;;12,0;12,1;EST;NA;NA;2015;;
TLO_007a012;NA;192;BREU VERMELHO;Fabaceae;;15,1;14,2;EST;NA;NA;2015;;
TLO_007a012;NA;193;BREU BRANCO;Quiinaceae;;18,5;16,3;EST;NA;NA;2015;;
TLO_007a012;NA;194;MACUCU CHIADOR;Violaceae;;42,9;27,1;EST;NA;NA;2015;;
TLO_007a012;NA;194F;RIPEIRO BRANCO;NA;;11,5;11,7;EST;NA;NA;2015;;
TLO_007a012;NA;195;ABIURANA ROXA;NA;;10,5;11,0;EST;NA;NA;2015;;
TLO_007a012;NA;196;MUCURAO;NA;;13,0;12,8;EST;NA;NA;2015;;
TLO_007a012;NA;197;ARABA ROXO;Annonaceae;;15,0;14,1;EST;NA;NA;2015;;
TLO_007a012;NA;198;MOELA DE MUTUM;Chrysobalanaceae;;NA;NA;EST;M;NA;2015;;
TLO_007a012;NA;199;FALSA CUPIUBA;Apocynaceae;;17,0;15,4;EST;NA;NA;2015;;
TLO_007a012;NA;200;MUIRAJIBOIA;Annonaceae;;NA;NA;EST;M;NA;2015;;
