common_name;species;genus;family
CAFE BRAVO;Kutchubaea insignis;Kutchubaea ;Rubiaceae
GENERAL;Tapura amazonica;Tapura ;Dichapetalaceae
ABIURANA VERMELHA;Couratari multiflora;Couratari ;Lecythidaceae
PAPO DE MUTUM;Lacunaria jenmanii;Lacunaria ;Quiinaceae
JUTAICICA;Pterocarpus officinalis;Pterocarpus ;Fabaceae
MACACAUBA;Platymiscium trinitatis;Platymiscium ;Fabaceae
CARDEIRO;Scleronema micranthum;Scleronema ;Malvaceae
ABIURANA;Sapotaceae spp ;Sapotaceae ;Sapotaceae
CARAIPE;Licania spp ;Licania ;Chrysobalanaceae
CASTANHA JARANA FM;Lecythis cf chartacea;Lecythis ;Lecythidaceae
CARDEIRO;Scleronema micranthum;Scleronema ;Malvaceae
LOURO BRANCO;Lauraceae spp ;Lauraceae ;Lauraceae
MUIRAPIRANGA FM;Eperua duckeana;Eperua ;Fabaceae
UCUUBA PRETA;Virola spp ;Virola ;Myristicaceae
CASCA PRECIOSA;Aniba canelilla;Aniba ;Lauraceae
FALSA CUPIUBA;Rinorea paniculata;Rinorea ;Violaceae
PAU TANINO;Maquira sclerophylla;Maquira ;Moraceae
BREU VERMELHO;Protium tenuifolium;Protium ;Burseraceae
ACARIQUARA ROXA;Minquartia guianensis;Minquartia ;Olacaceae
SERINGA VERMELHA;Hevea guianensis;Hevea ;Euphorbiaceae
ENVIRA PENTE DE MACACO;Annona neoinsignis;Annona ;Annonaceae
LOURO BRANCO;Aiouea cf grandifolia;Aiouea ;Lauraceae
CASTANHA DE PACA;Catostemma milanezii;Catostemma ;Malvaceae
INHARE;Helicostylis tomentosa;Helicostylis ;Moraceae
MUIRATINGA;Helicostylis tomentosa;Helicostylis ;Moraceae
MATAMATA AMARELO;Eschweilera wachenheimii;Eschweilera ;Lecythidaceae
SERINGA VERMELHA;Hevea guianensis;Hevea ;Euphorbiaceae
FAVEIRA PARKIA;Parkia spp ;Parkia ;Fabaceae
CAPITIU F.MIÚDA;Siparuna glycycarpa;Siparuna ;Siparunaceae
FALSA CUPIUBA;Rinorea paniculata;Rinorea ;Violaceae
MUIRAPIRANGA FM;Pseudoxandra obscurinervis;Pseudoxandra ;Annonaceae
LOURO FALSO ARITU;Aniba panurensis sensu lato;Aniba ;Lauraceae
TAUARI;Lecythidaceae spp ;Lecythidaceae ;Lecythidaceae
JUTAI MIRIM;Pterocarpus officinalis;Pterocarpus ;Fabaceae
SERINGARANA;Rhodothyrsus macrophyllus;Rhodothyrsus ;Euphorbiaceae
BREU VERMELHO;Protium hebetatum;Protium ;Burseraceae
JUTAI MIRIM;Pterocarpus officinalis;Pterocarpus ;Fabaceae
ACARIQUARA ROXA;Minquartia guianensis;Minquartia ;Olacaceae
PIAOZINHO;Micrandropsis scleroxylon;Micrandropsis ;Euphorbiaceae
BREU MANGA;Trattinnickia sp 1;Trattinnickia ;Burseraceae
ABIURANA VERMELHA;Pouteria fimbriata;Pouteria ;Sapotaceae
BREU;Protium cf crassipetalum;Protium ;Burseraceae
CARAIPERANA;Licania sandwithii;Licania ;Chrysobalanaceae
UCUQUIRANA BRAVA;Chrysophyllum ucuquirana-branca;Chrysophyllum ;Sapotaceae
MACARANDUBA;Manilkara cavalcantei;Manilkara ;Sapotaceae
MUCURAO VIOLACEAE;Amphirrhox longifolia;Amphirrhox ;Violaceae
CARAPANAUBA;Aspidosperma carapanauba;Aspidosperma ;Apocynaceae
ARACA BRAVO;Myrcia grandis;Myrcia ;Myrtaceae
PIAOZINHO;Micrandropsis scleroxylon;Micrandropsis ;Euphorbiaceae
UXI DE COTIA;Couepia canomensis;Couepia ;Chrysobalanaceae
BREU PITOMBA;Protium robustum;Protium ;Burseraceae
INGARANA;Sloanea sp 5;Sloanea ;Elaeocarpaceae
TACHI VERMELHO;Connarus perrottetii;Connarus ;Connaraceae
BREU VERMELHO;Tetragastris panamensis;Tetragastris ;Burseraceae
CASTANHA SAPUCAIA;Cariniana micrantha;Cariniana ;Lecythidaceae
MANDIOQUEIRA;Qualea paraensis;Qualea ;Vochysiaceae
JUTAI MIRIM;Pterocarpus officinalis;Pterocarpus ;Fabaceae
ACARIQUARA ROXA;Minquartia guianensis;Minquartia ;Olacaceae
ABIURANA VERMELHA;Pouteria cladantha;Pouteria ;Sapotaceae
RIPEIRO VERMELHO;Eschweilera amazoniciformis;Eschweilera ;Lecythidaceae
PIAOZINHO;Micrandropsis scleroxylon;Micrandropsis ;Euphorbiaceae
TINTEIRO;Miconia minutiflora;Miconia ;Melastomataceae
TINTEIRO;Miconia pyrifolia;Miconia ;Melastomataceae
BREU VERMELHO;Protium hebetatum;Protium ;Burseraceae
MATAMATA AMARELO;Eschweilera wachenheimii;Eschweilera ;Lecythidaceae
TINTEIRO;Miconia minutiflora;Miconia ;Melastomataceae
GOIABA DE ANTA BR;Bellucia grossularioides;Bellucia ;Melastomataceae
MACUCU FOFO;Couepia chrysocalyx;Couepia ;Chrysobalanaceae
MUTUTI;Pterocarpus officinalis;Pterocarpus ;Fabaceae
CASTANHA VERMELHA;Eschweilera atropetiolata;Eschweilera ;Lecythidaceae
TAUARI;Cariniana micrantha;Cariniana ;Lecythidaceae
BREU VERMELHO;Protium spp ;Protium ;Burseraceae
CASTANHA DE PACA;Catostemma milanezii;Catostemma ;Malvaceae
UCUUBA PUNA;Iryanthera sagotiana;Iryanthera ;Myristicaceae
PIAOZINHO;Micrandropsis scleroxylon;Micrandropsis ;Euphorbiaceae
TAPURA;Poecilanthe amazonica;Poecilanthe ;Fabaceae
SERINGARANA;Euphorbiaceae spp ;Euphorbiaceae ;Euphorbiaceae
RIPEIRO;Eschweilera collina;Eschweilera ;Lecythidaceae
RIPEIRO;Eschweilera amazoniciformis;Eschweilera ;Lecythidaceae
LOURO INHAMUI;Lauraceae spp ;Lauraceae ;Lauraceae
BREU VERMELHO;Dendrobangia boliviana;Dendrobangia ;Cardiopteridaceae
JARAI;Pouteria cf elegans;Pouteria ;Sapotaceae
AMARELINHO;Pogonophora schomburgkiana;Pogonophora ;Peraceae
ACARIQUARA BRANCA;Geissospermum argenteum;Geissospermum ;Apocynaceae
JUTAI MIRIM;Pterocarpus officinalis;Pterocarpus ;Fabaceae
TINTEIRO;Miconia minutiflora;Miconia ;Melastomataceae
UCUUBA VERMELHA;Micropholis sp 2;Micropholis ;Sapotaceae
ABIURANA DE MASSA;Elaeoluma nuda;Elaeoluma ;Sapotaceae
MATAMATA AMARELO;Eschweilera wachenheimii;Eschweilera ;Lecythidaceae
TAQUARI;Helicostylis tomentosa;Helicostylis ;Moraceae
SUCUPIRA AMARELA;Diplotropis purpurea;Diplotropis ;Fabaceae
BREU VERMELHO;Protium spp ;Protium ;Burseraceae
ITAUBA FG;Mezilaurus itauba;Mezilaurus ;Lauraceae
UCUQUIRANA BRAVA;Micropholis splendens;Micropholis ;Sapotaceae
TAQUARI;Mabea angularis;Mabea ;Euphorbiaceae
PIAOZINHO;Micrandropsis scleroxylon;Micrandropsis ;Euphorbiaceae
TAQUARI;Mabea angularis;Mabea ;Euphorbiaceae
SERINGA VERMELHA;Hevea guianensis;Hevea ;Euphorbiaceae
BREU VERMELHO;Protium spp ;Protium ;Burseraceae
ENVIRA AMARGOSA;Duguetia surinamensis;Duguetia ;Annonaceae
URUCURANA;Sloanea guianensis;Sloanea ;Elaeocarpaceae
MUIRAJIBOIA AMARELA;Swartzia recurva;Swartzia ;Fabaceae
FAVA AMARELA;Abarema mataybifolia;Abarema ;Fabaceae
BREU PITOMBA;Protium nitidifolium;Protium ;Burseraceae
BREU VERMELHO;Tetragastris panamensis;Tetragastris ;Burseraceae
SUCUPIRA CHORONA;Andira trifoliolata;Andira ;Fabaceae
ENVIRA SURUCUCU;Bocageopsis multiflora;Bocageopsis ;Annonaceae
ABIURANA BRANCA;Sarcaulus brasiliensis;Sarcaulus ;Sapotaceae
PE DE BURRO;Poecilanthe amazonica;Poecilanthe ;Fabaceae
ORELHA DE BURRO;Rhabdodendron amazonicum;Rhabdodendron ;Rhabdodendraceae
TINTEIRO;Miconia minutiflora;Miconia ;Melastomataceae
EMBAUBA GIGANTE;Cecropia sciadophylla;Cecropia ;Urticaceae
CAROBA;Jacaranda copaia;Jacaranda ;Bignoniaceae
BREU VERMELHO;Protium hebetatum;Protium ;Burseraceae
FAVEIRA PARKIA;Parkia multijuga;Parkia ;Fabaceae
PIAOZINHO;Micrandropsis scleroxylon;Micrandropsis ;Euphorbiaceae
MUIRAJIBOIA JERIMUM;Bocoa viridiflora;Bocoa ;Fabaceae
GITO;Trichilia micrantha;Trichilia ;Meliaceae
MUNGUBA;Ouratea discophora;Ouratea ;Ochnaceae
SERINGARANA;Rhodothyrsus macrophyllus;Rhodothyrsus ;Euphorbiaceae
INGA VERMELHA;Inga grandiflora;Inga ;Fabaceae
PIABINHA;Myrcia paivae;Myrcia ;Myrtaceae
TINTEIRO;Miconia minutiflora;Miconia ;Melastomataceae
SERINGARANA;Euphorbiaceae spp ;Euphorbiaceae ;Euphorbiaceae
UCUUBA PRETA;Virola venosa;Virola ;Myristicaceae
PERIQUITEIRA AMARELA;Laetia procera;Laetia ;Salicaceae
BREU VERMELHO;Protium hebetatum;Protium ;Burseraceae
LOURO ARITU;Licaria guianensis;Licaria ;Lauraceae
PIAOZINHO;Micrandropsis scleroxylon;Micrandropsis ;Euphorbiaceae
MATAMATA AMARELO;Eschweilera wachenheimii;Eschweilera ;Lecythidaceae
BUCHUCHU CANELA DE VELHO;Miconia spp ;Miconia ;Melastomataceae
MACUCU CHIADOR;Sloanea guianensis;Sloanea ;Elaeocarpaceae
FALSA CUPIUBA;Rinorea guianensis;Rinorea ;Violaceae
TAUARI;Couratari stellata;Couratari ;Lecythidaceae
CASTANHA JACARE;Corythophora rimosa;Corythophora ;Lecythidaceae
TACHI VERMELHO;Tachigali melanocarpa;Tachigali ;Fabaceae
CASCA PRECIOSA;Aniba canelilla;Aniba ;Lauraceae
BREU VERMELHO;Protium hebetatum;Protium ;Burseraceae
CAFE BRAVO;Kutchubaea insignis;Kutchubaea ;Rubiaceae
BREU VERMELHO;Protium altsonii;Protium ;Burseraceae
TINTEIRO;Miconia minutiflora;Miconia ;Melastomataceae
BALATA BRAVA;Micropholis williamii;Micropholis ;Sapotaceae
SUCUPIRA AMARELA;Dipteryx magnifica;Dipteryx ;Fabaceae
BREU VERMELHO;Protium altsonii;Protium ;Burseraceae
TAQUARI;Mabea speciosa;Mabea ;Euphorbiaceae
TACHI PRETO;Tachigali spp ;Tachigali ;Fabaceae
TAQUARI;Mabea speciosa;Mabea ;Euphorbiaceae
DIMA;Croton matourensis;Croton ;Euphorbiaceae
PITOMBA DA MATA;Cupania rubiginosa;Cupania ;Sapindaceae
BREU VERMELHO;Protium apiculatum;Protium ;Burseraceae
BUCHUCHU CANELA DE VELHO;Miconia spp ;Miconia ;Melastomataceae
AZEITONA DA MATA;Myrcia subsericea;Myrcia ;Myrtaceae
ENVIRA FOFA;Guatteria discolor;Guatteria ;Annonaceae
INGA COPAIBA;Zygia ramiflora;Zygia ;Fabaceae
CARDEIRO;Scleronema micranthum;Scleronema ;Malvaceae
DIMA;Croton matourensis;Croton ;Euphorbiaceae
TINTEIRO;Miconia minutiflora;Miconia ;Melastomataceae
DIMA;Croton matourensis;Croton ;Euphorbiaceae
ABIURANA ABIU;Pouteria guianensis;Pouteria ;Sapotaceae
LOURO DE CAMPINA;Licaria rodriguesii;Licaria ;Lauraceae
PIAOZINHO;Micrandropsis scleroxylon;Micrandropsis ;Euphorbiaceae
TAQUARI VERMELHO;Mabea angularis;Mabea ;Euphorbiaceae
SERINGARANA;Rhodothyrsus macrophyllus;Rhodothyrsus ;Euphorbiaceae
BREU BRANCO;Protium spp ;Protium ;Burseraceae
MATAMATA AMARELO;Eschweilera truncata;Eschweilera ;Lecythidaceae
MATAMATA AMARELO;Eschweilera wachenheimii;Eschweilera ;Lecythidaceae
QUARUBA BRANCA;Indeterminado;#VALOR!;Indeterminado 
TABOQUINHA;Faramea cf corymbosa;Faramea ;Rubiaceae
RIPEIRO VERMELHO;Eschweilera amazoniciformis;Eschweilera ;Lecythidaceae
BREU VERMELHO;Protium spp ;Protium ;Burseraceae
MATAMATA AMARELO;Eschweilera wachenheimii;Eschweilera ;Lecythidaceae
TAQUARI;Mabea spp ;Mabea ;Euphorbiaceae
ARABA ROXO;Swartzia reticulata;Swartzia ;Fabaceae
MATAMATA AMARELO;Eschweilera spp ;Eschweilera ;Lecythidaceae
LOURO PIRARUCU;Ocotea matogrossensis;Ocotea ;Lauraceae
BREU VERMELHO;Protium decandrum;Protium ;Burseraceae
ABIURANA VERMELHA;Pouteria guianensis;Pouteria ;Sapotaceae
BREU MANGA;Burseraceae spp ;Burseraceae ;Burseraceae
PIAOZINHO;Micrandropsis scleroxylon;Micrandropsis ;Euphorbiaceae
MUIRAJIBOIA JERIMUM;Bocoa viridiflora;Bocoa ;Fabaceae
FIGO BRAVO;Dendrobangia boliviana;Dendrobangia ;Cardiopteridaceae
PIAOZINHO;Micrandropsis scleroxylon;Micrandropsis ;Euphorbiaceae
RIPEIRO VERMELHO;Corythophora alta;Corythophora ;Lecythidaceae
INGA FERRO;Swartzia ingifolia;Swartzia ;Fabaceae
TAQUARI;Mabea spp ;Mabea ;Euphorbiaceae
CHICLETE BRAVO;Pouteria anomala;Pouteria ;Sapotaceae
FAVEIRA AMARELA;Parkia decussata;Parkia ;Fabaceae
MATAMATA AMARELO;Eschweilera truncata;Eschweilera ;Lecythidaceae
ARABA ROXO;Swartzia reticulata;Swartzia ;Fabaceae
ABIURANA BRANCA;Sarcaulus brasiliensis;Sarcaulus ;Sapotaceae
MUCURAO;Amphirrhox longifolia;Amphirrhox ;Violaceae
ARABA ROXO;Swartzia polyphylla;Swartzia ;Fabaceae
CARAPANAUBA;Aspidosperma carapanauba;Aspidosperma ;Apocynaceae
URUCUM BRAVO;Croton urucurana;Croton ;Euphorbiaceae
ACARIQUARA ROXA;Minquartia guianensis;Minquartia ;Olacaceae
INGA COPAIBA;Inga gracilifolia;Inga ;Fabaceae
PIABINHA;Diospyros cavalcantei;Diospyros ;Ebenaceae
PIAOZINHO;Micrandropsis scleroxylon;Micrandropsis ;Euphorbiaceae
TAUARI;Eschweilera romeu-cardosoi;Eschweilera ;Lecythidaceae
UCUUBA VERMELHA;Virola calophylla;Virola ;Myristicaceae
MUIRAJIBOIA PRETA;Bocoa viridiflora;Bocoa ;Fabaceae
BUCHUCHU ORELHA DE BURRO;Miconia spp ;Miconia ;Melastomataceae
PURUI;Theobroma subincanum;Theobroma ;Malvaceae
MACUCU CHIADOR;Eschweilera cyathiformis;Eschweilera ;Lecythidaceae
FALSA RAINHA;Helianthostylis sprucei;Helianthostylis ;Moraceae
ABIURANA ROXA;Pouteria bilocularis;Pouteria ;Sapotaceae
MATAMATA AMARELO;Eschweilera coriacea;Eschweilera ;Lecythidaceae
RIPEIRO VERMELHO;Eschweilera cyathiformis;Eschweilera ;Lecythidaceae
PAJURAZINHO;Licania sandwithii;Licania ;Chrysobalanaceae
PEPINO DA MATA;Ambelania acida;Ambelania ;Apocynaceae
GENERAL;Gustavia elliptica;Gustavia ;Lecythidaceae
MACUCU PELUDO;Hirtella rodriguesii;Hirtella ;Chrysobalanaceae
VASSOUREIRO;Conceveiba guianensis;Conceveiba ;Euphorbiaceae
PE DE BURRO;Poecilanthe amazonica;Poecilanthe ;Fabaceae
ENVIRA PRETA;Fusaea longifolia;Fusaea ;Annonaceae
ABIURANA ABIU;Chrysophyllum amazonicum;Chrysophyllum ;Sapotaceae
LOURO ARITU;Lauraceae spp ;Lauraceae ;Lauraceae
CASTANHA JACARE;Eschweilera cyathiformis;Eschweilera ;Lecythidaceae
FAVEIRA PARKIA;Parkia spp ;Parkia ;Fabaceae
FAVEIRA FOLHA FINA;Pseudopiptadenia cf suaveolens;Pseudopiptadenia ;Fabaceae
FALSA CUPIUBA;Rinorea paniculata;Rinorea ;Violaceae
SUCUPIRA VERMELHA;Hymenolobium pulcherrimum;Hymenolobium ;Fabaceae
RIPEIRO VERMELHO;Eschweilera romeu-cardosoi;Eschweilera ;Lecythidaceae
LOURO FOFO;Lauraceae spp ;Lauraceae ;Lauraceae
TACHI VERMELHO;Tachigali eriopetala;Tachigali ;Fabaceae
LOURO ARITU;Aniba panurensis sensu lato;Aniba ;Lauraceae
RIPEIRO BRANCO;Eschweilera bracteosa;Eschweilera ;Lecythidaceae
PIAOZINHO;Micrandropsis scleroxylon;Micrandropsis ;Euphorbiaceae
MACUCU CHIADOR;Sacoglottis mattogrossensis;Sacoglottis ;Humiriaceae
BREU DE LEITE;Protium nitidifolium;Protium ;Burseraceae
UCUUBA VERMELHA;Virola calophylla;Virola ;Myristicaceae
BREU BRANCO;Protium pallidum;Protium ;Burseraceae
RIPEIRO BRANCO;Eschweilera pseudodecolorans;Eschweilera ;Lecythidaceae
TAUARI;Couratari tauari;Couratari ;Lecythidaceae
RIPEIRO VERMELHO;Eschweilera amazoniciformis;Eschweilera ;Lecythidaceae
MATAMATA AMARELO;Eschweilera romeu-cardosoi;Eschweilera ;Lecythidaceae
CASTANHA DE COTIA;Eschweilera amazoniciformis;Eschweilera ;Lecythidaceae
RIPEIRO;Corythophora alta;Corythophora ;Lecythidaceae
ENVIRA BOBO;Annona neoinsignis;Annona ;Annonaceae
BREU BRANCO;Protium cf giganteum;Protium ;Burseraceae
BREU PITOMBA;Trattinnickia burserifolia;Trattinnickia ;Burseraceae
ARABA ROXO;Swartzia reticulata;Swartzia ;Fabaceae
FAVEIRA PE DE ARARA;Parkia decussata;Parkia ;Fabaceae
LOURO PRETO;Ocotea cinerea;Ocotea ;Lauraceae
ARACA BRAVO;Hirtella rodriguesii;Hirtella ;Chrysobalanaceae
MATAMATA AMARELO;Eschweilera wachenheimii;Eschweilera ;Lecythidaceae
SAPATEIRO;Tovomita gracilipes;Tovomita ;Clusiaceae
PIABINHA;Casearia arborea;Casearia ;Salicaceae
TACHI PRETO;Tachigali cf glauca;Tachigali ;Fabaceae
TACHI VERMELHO;Tachigali cf paraensis;Tachigali ;Fabaceae
ABIURANA ROXA;Pouteria cladantha;Pouteria ;Sapotaceae
ANGELIM RAJADO;Zygia racemosa;Zygia ;Fabaceae
INGA VERMELHA;Stryphnodendron racemiferum;Stryphnodendron ;Fabaceae
ABIURANA BRANCA;Sarcaulus brasiliensis;Sarcaulus ;Sapotaceae
MACUCU CHIADOR;Licania spp ;Licania ;Chrysobalanaceae
AZEITONA DA MATA;Myrcia subsericea;Myrcia ;Myrtaceae
MUNGUBA;Pachira macrocalyx;Pachira ;Malvaceae
MATAMATA AMARELO;Eschweilera coriacea;Eschweilera ;Lecythidaceae
BREU VERMELHO;Protium tenuifolium;Protium ;Burseraceae
SAPATEIRO;Tovomita spp ;Tovomita ;Clusiaceae
MAUEIRA;Erisma bicolor;Erisma ;Vochysiaceae
MACUCU MURICI;Humiriaceae spp ;Humiriaceae ;Humiriaceae
MATAMATA AMARELO;Eschweilera wachenheimii;Eschweilera ;Lecythidaceae
CAFE BRAVO;Kutchubaea insignis;Kutchubaea ;Rubiaceae
INGA VERMELHA;Zygia ramiflora;Zygia ;Fabaceae
TAQUARI;Theobroma sylvestre;Theobroma ;Malvaceae
JACA BRAVA;Trymatococcus amazonicus;Trymatococcus ;Moraceae
PAU TANINO;Maquira sclerophylla;Maquira ;Moraceae
BREU VERMELHO;Protium spp ;Protium ;Burseraceae
BREU VERMELHO;Protium apiculatum;Protium ;Burseraceae
AZEITONA DA MATA;Myrcia subsericea;Myrcia ;Myrtaceae
BREU VERMELHO;Protium spp ;Protium ;Burseraceae
ABIURANA FEDORENTA;Chrysophyllum cf gonocarpum;Chrysophyllum ;Sapotaceae
CHICLETE BRAVO;Micropholis guyanensis;Micropholis ;Sapotaceae
UXIRANA;Couepia guianensis;Couepia ;Chrysobalanaceae
MATA MATA AMARELO;Eschweilera truncata;Eschweilera ;Lecythidaceae
BUCHUCHU CANELA DE VELH;Miconia spp ;Miconia ;Melastomataceae
BREU BRANCO;Protium hebetatum;Protium ;Burseraceae
CUPIUBA;Goupia glabra;Goupia ;Goupiaceae
EMBAUBARANA;Pourouma tomentosa;Pourouma ;Urticaceae
QUARUBA VERMELHA;Qualea paraensis;Qualea ;Vochysiaceae
ENVIRA PRETA;Fusaea longifolia;Fusaea ;Annonaceae
CAJUI;Anacardium spruceanum;Anacardium ;Anacardiaceae
CUTITE BRAVO;Indeterminado;#VALOR!;Indeterminado 
BUCHUCHU ORELHA DE BURR;Miconia spp ;Miconia ;Melastomataceae
ABIURANA ROXA;Sapotaceae spp ;Sapotaceae ;Sapotaceae
LOURO FOFO;Ocotea percurrens;Ocotea ;Lauraceae
BUCHUCHU FOLHA SERRILHADA;Miconia spp ;Miconia ;Melastomataceae
CASTANHA SAPUCAIA;Lecythis zabucajo;Lecythis ;Lecythidaceae
RIPEIRO BRANCO;Eschweilera bracteosa;Eschweilera ;Lecythidaceae
BREU VERMELHO;Protium spp ;Protium ;Burseraceae
FALSA CUPIUBA;Rinorea paniculata;Rinorea ;Violaceae
PIMENTA DE NAMBU;Lacistema spp ;Lacistema ;Lacistemataceae
TACHI VERMELHO;Tachigali cf paraensis;Tachigali ;Fabaceae
BREU VERMELHO;Protium hebetatum;Protium ;Burseraceae
MUNGUBA;Pachira macrocalyx;Pachira ;Malvaceae
ACHICHA;Ouratea discophora;Ouratea ;Ochnaceae
BREU VERMELHO;Protium spp ;Protium ;Burseraceae
CASTANHA VERMELHA;Eschweilera atropetiolata;Eschweilera ;Lecythidaceae
CORACAO DE NEGRO;Swartzia panacoco;Swartzia ;Fabaceae
RIPEIRO VERMELHO;Eschweilera romeu-cardosoi;Eschweilera ;Lecythidaceae
MUIRAJIBOIA AMARELA;Swartzia recurva;Swartzia ;Fabaceae
RIPEIRO VERMELHO;Eschweilera romeu-cardosoi;Eschweilera ;Lecythidaceae
LOURO ARITU;Aniba panurensis sensu lato;Aniba ;Lauraceae
MATAMATA AMARELO;Eschweilera wachenheimii;Eschweilera ;Lecythidaceae
ARABA ROXO;Swartzia polyphylla;Swartzia ;Fabaceae
ENVIRA FOFA;Guatteria olivacea;Guatteria ;Annonaceae
FALSA RAINHA;Helianthostylis sprucei;Helianthostylis ;Moraceae
TABOQUINHA;Myrtaceae sp 2;Myrtaceae ;Myrtaceae
CASTANHA VERMELHA;Eschweilera atropetiolata;Eschweilera ;Lecythidaceae
MATAMATA AMARELO;Eschweilera pseudodecolorans;Eschweilera ;Lecythidaceae
ABIURANA ROXA;Pouteria cladantha;Pouteria ;Sapotaceae
ENVIRA PRETA;Fusaea longifolia;Fusaea ;Annonaceae
CARDEIRO;Scleronema micranthum;Scleronema ;Malvaceae
FALSA CUPIUBA;Rinorea paniculata;Rinorea ;Violaceae
ABIURANA ROXA;Pouteria cladantha;Pouteria ;Sapotaceae
UCUUBA PUNA;Iryanthera sagotiana;Iryanthera ;Myristicaceae
URUCURANA;Sloanea cf eichleri;Sloanea ;Elaeocarpaceae
MATAMATA PRETO;Eschweilera grandiflora;Eschweilera ;Lecythidaceae
JARAI;Pouteria cuspidata;Pouteria ;Sapotaceae
RIPEIRO VERMELHO;Eschweilera romeu-cardosoi;Eschweilera ;Lecythidaceae
SUCUPIRA CHORONA;Andira unifoliolata;Andira ;Fabaceae
FAVEIRA CAMUZE;Stryphnodendron guianense;Stryphnodendron ;Fabaceae
ABIURANA CUTITE FL;Chrysophyllum amazonicum;Chrysophyllum ;Sapotaceae
MUIRATINGA;Maquira calophylla;Maquira ;Moraceae
MACUCU MURICI;Licania sothersiae;Licania ;Chrysobalanaceae
CASTANHA JACARE;Corythophora rimosa;Corythophora ;Lecythidaceae
ABIURANA OLHO DE VEADO;Pouteria cf engleri;Pouteria ;Sapotaceae
INGA COPAIBA;Zygia ramiflora;Zygia ;Fabaceae
BREU BRANCO;Protium spp ;Protium ;Burseraceae
ROSADA BRAVA;Chrysophyllum sanguinolentum;Chrysophyllum ;Sapotaceae
CARAIPERANA;Talisia cf cerasina;Talisia ;Sapindaceae
RIPEIRO VERMELHO;Eschweilera amazoniciformis;Eschweilera ;Lecythidaceae
ABIURANA FEDORENTA;Pouteria reticulata;Pouteria ;Sapotaceae
TAUARI;Couratari stellata;Couratari ;Lecythidaceae
URUCURANA;Swartzia corrugata;Swartzia ;Fabaceae
MATAMATA AMARELO;Eschweilera wachenheimii;Eschweilera ;Lecythidaceae
TACHI VERMELHO;Tachigali spp ;Tachigali ;Fabaceae
INGA DE ARARA;Stryphnodendron paniculatum;Stryphnodendron ;Fabaceae
MATAMATA AMARELO;Eschweilera truncata;Eschweilera ;Lecythidaceae
BREU VERMELHO;Protium paniculatum;Protium ;Burseraceae
FAVEIRA FOLHA FINA;Enterolobium sp ;Enterolobium ;Fabaceae
ABIURANA BATINGA;Pouteria fimbriata;Pouteria ;Sapotaceae
ACARIQUARA ROXA;Minquartia guianensis;Minquartia ;Olacaceae
CASTANHA VERMELHA;Eschweilera cf micrantha;Eschweilera ;Lecythidaceae
BREU BRANCO;Protium pallidum;Protium ;Burseraceae
MATAMATA AMARELO;Eschweilera wachenheimii;Eschweilera ;Lecythidaceae
MAUAZINHO;Mouriri collocarpa;Mouriri ;Melastomataceae
RIPEIRO BRANCO;Eschweilera romeu-cardosoi;Eschweilera ;Lecythidaceae
MUNGUBA ASPERA;Pera bicolor;Pera ;Peraceae
JUTAI MIRIM;Pterocarpus officinalis;Pterocarpus ;Fabaceae
LOURO AMARELO;Licaria martiniana;Licaria ;Lauraceae
MATAMATA AMARELO;Eschweilera wachenheimii;Eschweilera ;Lecythidaceae
RIPEIRO VERMELHO;Eschweilera amazoniciformis;Eschweilera ;Lecythidaceae
MATAMATA AMARELO;Eschweilera wachenheimii;Eschweilera ;Lecythidaceae
UXIRANA;Endopleura uchi;Endopleura ;Humiriaceae
BREU VERMELHO;Protium spp ;Protium ;Burseraceae
ENVIRA FERRO;Ephedranthus amazonicus;Ephedranthus ;Annonaceae
ABIURANA ROXA;Pouteria filipes;Pouteria ;Sapotaceae
CHICLETE BRAVO;Micropholis guyanensis;Micropholis ;Sapotaceae
RIPEIRO;Eschweilera romeu-cardosoi;Eschweilera ;Lecythidaceae
RIPEIRO VERMELHO;Eschweilera romeu-cardosoi;Eschweilera ;Lecythidaceae
UCUUBA BRANCA;Myristicaceae spp ;Myristicaceae ;Myristicaceae
BREU VERMELHO;Protium spp ;Protium ;Burseraceae
UCUUBA PUNA;Iryanthera sagotiana;Iryanthera ;Myristicaceae
MATAMATA AMARELO;Eschweilera wachenheimii;Eschweilera ;Lecythidaceae
MUIRATINGA;Naucleopsis ulei;Naucleopsis ;Moraceae
UXI AMARELO;Endopleura uchi;Endopleura ;Humiriaceae
URUCURANA;Sloanea laurifolia;Sloanea ;Elaeocarpaceae
UCUUBA PRETA;Virola mollissima;Virola ;Myristicaceae
CORACAO DE NEGRO;Eperua duckeana;Eperua ;Fabaceae
MUIRAUBA;Mouriri duckeana/duckeanoides;Mouriri ;Melastomataceae
MUIRAPIRANGA FM;Eperua duckeana;Eperua ;Fabaceae
ABIURANA BACURI;Sapotaceae spp ;Sapotaceae ;Sapotaceae
MUIRAJIBOIA JERIMUM;Swartzia tomentifera;Swartzia ;Fabaceae
TACHI VERMELHO;Tachigali spp ;Tachigali ;Fabaceae
RIPEIRO VERMELHO;Eschweilera romeu-cardosoi;Eschweilera ;Lecythidaceae
RIPEIRO VERMELHO;Eschweilera spp ;Eschweilera ;Lecythidaceae
BREU VERMELHO;Protium spp ;Protium ;Burseraceae
MACACAUBA;Platymiscium trinitatis;Platymiscium ;Fabaceae
