_id;common_name;family;genus;species
135;pitomba mata;indeterminado;#valor!;indeterminado
136;inga vermelha;fabaceae;inga;inga cf cordatoalata
137;gitorana;fabaceae;inga;inga cf leiocalycina
138;inga branca;fabaceae;inga;inga cf leiocalycina
142;inga branca;fabaceae;inga;inga sp
143;inga;fabaceae;inga;inga spp
144;inga branca;fabaceae;inga;inga spp
145;inga branco;fabaceae;inga;inga spp
146;inga vermelha;fabaceae;inga;inga spp
147;inga vermelho;fabaceae;inga;inga spp
152;ucuuba puna;myristicaceae;iryanthera;iryanthera spp
155;macucu chiador;lacistemataceae;lacistema;lacistema aggregatum/polystachyum
156;pimenta nambu;lacistemataceae;lacistema;lacistema spp
157;louro;lauraceae;lauraceae;lauraceae sp
158;louro aritu;lauraceae;lauraceae;lauraceae spp
159;louro bosta;lauraceae;lauraceae;lauraceae spp
160;louro branco;lauraceae;lauraceae;lauraceae spp
161;louro chumbo;lauraceae;lauraceae;lauraceae spp
162;louro falso aritu;lauraceae;lauraceae;lauraceae spp
163;louro fofo;lauraceae;lauraceae;lauraceae spp
164;louro inhamui;lauraceae;lauraceae;lauraceae spp
165;louro preto;lauraceae;lauraceae;lauraceae spp
166;tauari;lecythidaceae;lecythidaceae;lecythidaceae spp
167;castanha jarana;lecythidaceae;lecythis;lecythis aff poiteaui
168;castanha jarana fm;lecythidaceae;lecythis;lecythis aff poiteaui
169;castanha jarana fm;lecythidaceae;lecythis;lecythis cf chartacea
170;castanha jarana fm;lecythidaceae;lecythis;lecythis cf gracieana
171;castanha jarana;lecythidaceae;lecythis;lecythis spp
172;castanha jarana fm;lecythidaceae;lecythis;lecythis spp
177;macucu chiador;chrysobalanaceae;licania;licania sp 1
178;caraipe;chrysobalanaceae;licania;licania spp
179;macucu chiador;chrysobalanaceae;licania;licania spp
180;taquari vermelho;chrysobalanaceae;licania;licania spp
181;macucu sangue;myristicaceae;licania;licania spp
183;louro aritu;lauraceae;licaria;licaria crassifolia
184;louro pirarucu;lauraceae;licaria;licaria crassifolia
189;louro preto;lauraceae;licaria;licaria sp 2
192;taquari;euphorbiaceae;mabea;mabea spp
193;inga vermelha;fabaceae;macrolobium;macrolobium cf arenarium
194;ingarana;fabaceae;macrolobium;macrolobium cf arenarium
195;gito;meliaceae;meliaceae;meliaceae spp
196;gito branco;meliaceae;meliaceae;meliaceae spp
197;buchuchu canela velh;melastomataceae;miconia;miconia dicrophylla
198;buchuchu canela velho;melastomataceae;miconia;miconia dicrophylla
209;buchuchu;melastomataceae;miconia;miconia spp
210;buchuchu branco;melastomataceae;miconia;miconia spp
211;buchuchu canela velh;melastomataceae;miconia;miconia spp
212;buchuchu canela velho;melastomataceae;miconia;miconia spp
213;buchuchu f serrilhada;melastomataceae;miconia;miconia spp
214;buchuchu folha serrilha;melastomataceae;miconia;miconia spp
215;buchuchu folha serrilhada;melastomataceae;miconia;miconia spp
216;buchuchu orelha burr;melastomataceae;miconia;miconia spp
217;buchuchu orelha burro;melastomataceae;miconia;miconia spp
218;buchuchu vermelho;melastomataceae;miconia;miconia spp
219;buxuxu f. serrilhada;melastomataceae;miconia;miconia spp
220;buxuxu orelha burro;melastomataceae;miconia;miconia spp
221;envira preta;melastomataceae;miconia;miconia spp
226;chiclete bravo;sapotaceae;micropholis;micropholis sp 1
227;abiurana branca;sapotaceae;micropholis;micropholis spp
228;chiclete bravo;sapotaceae;micropholis;micropholis spp
231;cardeiro;malvaceae;mollia;mollia cf lepidota
232;castanha paca;malvaceae;mollia;mollia cf lepidota
233;castanha porco;malvaceae;mollia;mollia cf lepidota
234;castanha vermelha;malvaceae;mollia;mollia cf lepidota
235;murici;malvaceae;mollia;mollia cf lepidota
236;ripeiro vermelho;malvaceae;mollia;mollia cf lepidota
237;urucurana cacau;malvaceae;mollia;mollia cf lepidota
238;amapa amargoso;moraceae;moraceae;moraceae spp
239;inhare;moraceae;moraceae;moraceae spp
240;purui;moraceae;moraceae;moraceae spp
241;muiraximbe;rubiaceae;morinda;morinda sp
242;bacuri bravo;clusiaceae;moronobea;moronobea coccinea/pulchra
243;muirauba;melastomataceae;mouriri;mouriri duckeana/duckeanoides
244;mamaozinho;melastomataceae;mouriri;mouriri spp
245;ubaia;myrtaceae;myrcia;myrcia cf minutiflora
246;goiabinha;myrtaceae;myrcia;myrcia spp
248;ucuuba;myristicaceae;myristicaceae;myristicaceae spp
249;araca bravo;myrtaceae;myrtaceae;myrtaceae sp 1
250;araca;myrtaceae;myrtaceae;myrtaceae spp
251;araca bravo;myrtaceae;myrtaceae;myrtaceae spp
252;joao mole;nyctaginaceae;neea;neea cf madeirana
253;joao mole;nyctaginaceae;neea;neea cf virens
254;joao mole;nyctaginaceae;neea;neea spp
256;louro fofo;lauraceae;ocotea;ocotea cf leucoxylon
257;louro preto;lauraceae;ocotea;ocotea cf leucoxylon
263;tento azul;fabaceae;ormosia;ormosia spp
264;uxi morcego;ochnaceae;ouratea;ouratea sp
265;uxi morcego;ochnaceae;ouratea;ouratea spp
267;faveira bengue;fabaceae;parkia;parkia cf nitida
269;embaubarana;urticaceae;pouroma;pouroma spp
272;embaubarana;urticaceae;pourouma;pourouma spp
276;jarai;sapotaceae;pouteria;pouteria cf cuspidata
277;muiraximbe;sapotaceae;pouteria;pouteria cf durlandii
278;jarai;sapotaceae;pouteria;pouteria cf elegans
279;abiurana branca;sapotaceae;pouteria;pouteria cf engleri
280;abiurana olho veado;sapotaceae;pouteria;pouteria cf engleri
281;abiurana;sapotaceae;pouteria;pouteria cf macrophylla
282;abiurana batinga;sapotaceae;pouteria;pouteria cf macrophylla
283;abiurana casca fina;sapotaceae;pouteria;pouteria cf macrophylla
284;seringarana;sapotaceae;pouteria;pouteria cf oblanceolata
285;tauari;sapotaceae;pouteria;pouteria cf rhynchocarpa
301;abiurana casca fina;sapotaceae;pouteria;pouteria spp
302;abiurana fedorenta;sapotaceae;pouteria;pouteria spp
303;abiurana olho veado;sapotaceae;pouteria;pouteria spp
304;jarai;sapotaceae;pouteria;pouteria spp
305;casca doce;sapotaceae;pradosia;pradosia cf decipiens
306;casca doce;sapotaceae;pradosia;pradosia spp
310;breu vermelho;burseraceae;protium;protium cf crassipetalum
320;breu;burseraceae;protium;protium spp
321;breu branco;burseraceae;protium;protium spp
322;breu peludo;burseraceae;protium;protium spp
323;breu pitomba;burseraceae;protium;protium spp
324;breu vermelho;burseraceae;protium;protium spp
327;fava folha fina;fabaceae;pseudopiptadenia;pseudopiptadenia cf suaveolens
328;faveira folha fina;fabaceae;pseudopiptadenia;pseudopiptadenia cf suaveolens
331;jaca brava;rubiaceae;psychotria;psychotria sp 1
332;jutaicica;fabaceae;pterocarpus;pterocarpus spp
333;mandioqueira lisa;vochysiaceae;qualea;qualea aff paraensis
334;mandioqueira aspera;vochysiaceae;qualea;qualea spp
340;branquinha;violaceae;rinorea;rinorea amapensis/flavescens
341;jarai;violaceae;rinorea;rinorea sp 1
342;abiurana casca seca;rubiaceae;rubiaceae;rubiaceae sp
343;muiraximbe;rubiaceae;rubiaceae;rubiaceae spp
344;taboquinha;rubiaceae;rubiaceae;rubiaceae spp
345;pitomba mata;sapindaceae;sapindaceae;sapindaceae spp
346;abiurana;sapotaceae;sapotaceae;sapotaceae spp
347;abiurana abiu;sapotaceae;sapotaceae;sapotaceae spp
348;abiurana bacuri;sapotaceae;sapotaceae;sapotaceae spp
349;abiurana cutite fl;sapotaceae;sapotaceae;sapotaceae spp
350;abiurana jerimum;sapotaceae;sapotaceae;sapotaceae spp
351;abiurana roxa;sapotaceae;sapotaceae;sapotaceae spp
352;maparajuba;sapotaceae;sapotaceae;sapotaceae spp
353;morototo;araliaceae;schefflera;schefflera sp
355;urucurana;elaeocarpaceae;sloanea;sloanea aff grandis
360;urucurana;elaeocarpaceae;sloanea;sloanea sp 3
361;urucurana;elaeocarpaceae;sloanea;sloanea spp
362;urucurana verdadeira;elaeocarpaceae;sloanea;sloanea spp
365;achicha;malvaceae;sterculia;sterculia spp
366;faveira camuze;fabaceae;stryphnodendron;stryphnodendron spp
367;inga arara;fabaceae;stryphnodendron;stryphnodendron spp
372;tachi preto;fabaceae;tachigali;tachigali cf glauca
373;tachi vermelho;fabaceae;tachigali;tachigali cf paraensis
374;tachi pitomba;fabaceae;tachigali;tachigali sp 1
375;tachi vermelho;fabaceae;tachigali;tachigali sp 1
376;tachi preto;fabaceae;tachigali;tachigali sp 2
377;tachi pitomba;fabaceae;tachigali;tachigali spp
378;tachi preto;fabaceae;tachigali;tachigali spp
379;tachi vermelho;fabaceae;tachigali;tachigali spp
382;gito branco;sapindaceae;talisia;talisia cf cerasina
383;urucurana;sapindaceae;talisia;talisia cf cupularis
386;sapateiro;clusiaceae;tovomita;tovomita sp 2
387;sapateiro;clusiaceae;tovomita;tovomita spp
388;breu manga;burseraceae;trattinnickia;trattinnickia sp 1
389;breu pitomba;burseraceae;trattinnickia;trattinnickia sp 1
390;piriquiteira amarela;burseraceae;trattinnickia;trattinnickia sp 1
392;embauba;urticaceae;urticaceae;urticaceae spp
393;ucuuba;myristicaceae;virola;virola cf elongata
394;ucuuba preta;myristicaceae;virola;virola cf elongata
397;ucuuba peluda;myristicaceae;virola;virola spp
398;ucuuba vermelha;myristicaceae;virola;virola spp
399;cardeiro;hypericaceae;vismia;vismia spp
400;inga branca;hypericaceae;vismia;vismia spp
401;lacre mata;hypericaceae;vismia;vismia spp
402;lacre vermelho;hypericaceae;vismia;vismia spp
403;murici;hypericaceae;vismia;vismia spp
405;quaruba vermelha;vochysiaceae;vochysia;vochysia spp
